Code_Commune;depart_ID;Nom_Com;;;;;;
2729;85;BEAUVOIR-SUR-MER;;;;;;
1275;43;BEAUZAC;;;;;;
758;31;BEAUZELLE;;;;;;
950;34;BEDARIEUX;;;;;;
2666;84;BEDARRIDES;;;;;;
992;35;BEDEE;;;;;;
2661;84;BEDOIN;;;;;;
797;33;BEGLES;;;;;;
2814;90;BELFORT;;;;;;
2650;83;BELGENTIER;;;;;;
1154;39;BELLEFONTAINE;;;;;;
701;30;BELLEGARDE;;;;;;
70;02;BELLEU;;;;;;
1571;55;BELLEVILLE SUR MEUSE;;;;;;
2020;69;BELLEVILLE-EN-BEAUJOLAIS;;;;;;
17;01;BELLEY;;;;;;
26;01;BELLIGNAT;;;;;;
3102;95;BELLOY-EN-FRANCE;;;;;;
190;06;BELVEDERE;;;;;;
639;2A;BELVEDERE-CAMPOMORO;;;;;;
1602;56;BELZ;;;;;;
173;06;BENDEJUN;;;;;;
377;14;BENERVILLE-SUR-MER;;;;;;
1195;40;BENESSE-MAREMNE;;;;;;
2484;78;BENNECOURT;;;;;;
1807;62;BERCK;;;;;;
472;24;BERGERAC;;;;;;
562;27;BERNAY;;;;;;
678;30;BERNIS;;;;;;
187;06;BERRE-LES-ALPES;;;;;;
1665;59;BERSEE;;;;;;
480;25;BESANCON;;;;;;
1328;44;BESNE;;;;;;
3146;95;BESSANCOURT;;;;;;
1111;38;BESSE;;;;;;
1822;63;BESSE-ET-SAINT-ANASTAISE;;;;;;
725;30;BESSEGES;;;;;;
759;31;BESSIERES;;;;;;
2749;87;BESSINES-SUR-GARTEMPE;;;;;;
1496;51;BETHENY;;;;;;
1754;60;BETHISY ST MARTIN;;;;;;
1760;60;BETHISY ST PIERRE;;;;;;
1787;62;BETHUNE;;;;;;
963;35;BETTON;;;;;;
186;06;BEUIL;;;;;;
1790;62;BEUVRY;;;;;;
2503;78;BEYNES;;;;;;
1497;51;BEZANNES;;;;;;
945;34;BEZIERS;;;;;;
3157;95;BEZONS;;;;;;
1786;62;BIACHE-SAINT-VAAST;;;;;;
1853;64;BIARRITZ;;;;;;
1187;40;BIAS;;;;;;
2926;91;BIEVRES;;;;;;
808;33;BIGANOS;;;;;;
2219;76;BIHOREL;;;;;;
1826;64;BILLERE;;;;;;
442;22;BINIC-ETABLES-SUR-MER;;;;;;
208;06;BIOT;;;;;;
1172;40;BISCARROSSE;;;;;;
1063;38;BIVIERS;;;;;;
1828;64;BIZANOS;;;;;;
1479;51;BLACY;;;;;;
750;31;BLAGNAC;;;;;;
1329;44;BLAIN;;;;;;
1562;54;BLAINVILLE-SUR-L EAU;;;;;;
794;33;BLANQUEFORT;;;;;;
2062;71;BLANZY;;;;;;
189;06;BLAUSASC;;;;;;
864;33;BLAYE;;;;;;
1812;62;BLENDECQUES;;;;;;
1197;41;BLOIS;;;;;;
374;14;BLONVILLE-SUR-MER;;;;;;
2983;93;BOBIGNY;;;;;;
1400;47;BOE;;;;;;
1236;42;BOEN-SUR-LIGNON;;;;;;
2409;78;BOIS D ARCY;;;;;;
2216;76;BOIS GUILLAUME;;;;;;
2314;77;BOIS LE ROI;;;;;;
2946;92;BOIS-COLOMBES;;;;;;
1144;39;BOIS-D AMONT;;;;;;
3092;95;BOISSY-L'AILLERIE;;;;;;
2915;91;BOISSY-LE-CUTTE;;;;;;
3044;94;BOISSY-SAINT-LEGER;;;;;;
2887;91;BOISSY-SOUS-SAINT-YON;;;;;;
2243;76;BOLBEC;;;;;;
2690;84;BOLLENE;;;;;;
1896;66;BOLQUERE;;;;;;
2291;77;BOMBON;;;;;;
2817;91;BONDOUFLE;;;;;;
1675;59;BONDUES;;;;;;
2986;93;BONDY;;;;;;
621;2A;BONIFACIO;;;;;;
487;25;BONNAY;;;;;;
2141;74;BONNE;;;;;;
2523;78;BONNELLES;;;;;;
3125;95;BONNEUIL-EN-FRANCE;;;;;;
3027;94;BONNEUIL-SUR-MARNE;;;;;;
2173;74;BONNEVILLE;;;;;;
2488;78;BONNIERES-SUR-SEINE;;;;;;
2202;76;BONSECOURS;;;;;;
1759;60;BORAN SUR OISE;;;;;;
796;33;BORDEAUX;;;;;;
2643;83;BORMES-LES-MIMOSAS;;;;;;
1701;60;BORNEL;;;;;;
2461;78;BOUAFLE;;;;;;
1306;44;BOUAYE;;;;;;
1433;49;BOUCHEMAINE;;;;;;
3115;95;BOUFFEMONT;;;;;;
2436;78;BOUGIVAL;;;;;;
1287;44;BOUGUENAIS;;;;;;
673;30;BOUILLARGUES;;;;;;
957;34;BOUJAN-SUR-LIBRON;;;;;;
1371;45;BOULAY-LES-BARRES;;;;;;
470;24;BOULAZAC ISLE MANOIRE;;;;;;
1805;62;BOULOGNE SUR MER;;;;;;
2955;92;BOULOGNE-BILLANCOURT;;;;;;
2904;91;BOURAY-SUR-JUINE;;;;;;
2742;86;BOURESSE;;;;;;
519;26;BOURG LES VALENCE;;;;;;
961;35;BOURGBARRE;;;;;;
517;26;BOURG-DE-PEAGE;;;;;;
1009;35;BOURG-DES-COMPTES;;;;;;
415;18;BOURGES;;;;;;
2966;92;BOURG-LA-REINE;;;;;;
1116;38;BOURGOIN-JALLIEU;;;;;;
233;07;BOURG-SAINT-ANDEOL;;;;;;
2103;73;BOURG-SAINT-MAURICE;;;;;;
1051;37;BOURGUEIL;;;;;;
483;25;BOUSSIERES;;;;;;
2819;91;BOUSSY-SAINT-ANTOINE;;;;;;
305;11;BOUTENAC;;;;;;
2886;91;BOUTIGNY-SUR-ESSONNE;;;;;;
1525;54;BOUXIERES-AUX-DAMES;;;;;;
903;34;BOUZIGUES;;;;;;
984;35;BREAL-SOUS-MONTFORT;;;;;;
2244;76;BREAUTE;;;;;;
1454;50;BRECEY;;;;;;
1594;56;BRECH;;;;;;
160;06;BREIL-SUR-ROYA;;;;;;
21;01;BRENOD;;;;;;
2533;79;BRESSUIRE;;;;;;
601;29;BREST;;;;;;
990;35;BRETEIL;;;;;;
2716;85;BRETIGNOLLES-SUR-MER;;;;;;
2871;91;BRETIGNY SUR ORGE;;;;;;
2906;91;BREUILLET;;;;;;
116;05;BRIANCON;;;;;;
1393;45;BRIARE;;;;;;
2260;77;BRIE COMTE ROBERT;;;;;;
1088;38;BRIE-ET-ANGONNES;;;;;;
1258;42;BRIENNON;;;;;;
2907;91;BRIERES-LES-SCELLES;;;;;;
1957;69;BRIGNAIS;;;;;;
2597;83;BRIGNOLES;;;;;;
2920;91;BRIIS-SOUS-FORGES;;;;;;
1981;69;BRINDAS;;;;;;
1273;43;BRIOUDE;;;;;;
1430;49;BRISSAC LOIRE AUBANCE;;;;;;
425;19;BRIVE LA GAILLARDE;;;;;;
1268;43;BRIVES-CHARENSAC;;;;;;
1942;69;BRON;;;;;;
456;22;BROONS;;;;;;
2374;77;BROU-SUR-CHANTEREINE;;;;;;
2706;85;BROUZILS (LES);;;;;;
785;33;BRUGES;;;;;;
2820;91;BRUNOY;;;;;;
1994;69;BRUSSIEU;;;;;;
2878;91;BRUYERES-LE-CHATEL;;;;;;
3098;95;BRUYERES-SUR-OISE;;;;;;
970;35;BRUZ;;;;;;
3062;94;BRY-SUR-MARNE;;;;;;
2418;78;BUC;;;;;;
2474;78;BUCHELAY;;;;;;
553;27;BUEIL;;;;;;
2519;78;BULLION;;;;;;
1995;69;BULLY;;;;;;
2928;91;BURES SUR YVETTE;;;;;;
2786;88;BUSSANG;;;;;;
2348;77;BUSSY-SAINT-GEORGES;;;;;;
2359;77;BUSSY-SAINT-MARTIN;;;;;;
2739;86;BUXEROLLES;;;;;;
2617;83;CABASSE;;;;;;
3029;94;CACHAN;;;;;;
811;33;CADAUJAC;;;;;;
807;33;CADILLAC;;;;;;
363;14;CAEN;;;;;;
226;06;CAGNES SUR MER;;;;;;
1394;46;CAHORS;;;;;;
1921;69;CAILLOUX-SUR-FONTAINES;;;;;;
670;30;CAISSARGUES;;;;;;
1803;62;CALAIS;;;;;;
636;2A;CALCATOGGIO;;;;;;
2596;83;CALLIAN;;;;;;
1912;69;CALUIRE ET CUIRE;;;;;;
667;30;CALVISSON;;;;;;
606;29;CAMARET-SUR-MER;;;;;;
1689;59;CAMBRAI;;;;;;
1730;60;CAMBRONNE LES RIBECOURT;;;;;;
2541;80;CAMON;;;;;;
1873;65;CAMPAN;;;;;;
1341;44;CAMPBON;;;;;;
1014;35;CANCALE;;;;;;
805;33;CANEJAN;;;;;;
1885;66;CANET EN ROUSSILLON;;;;;;
209;06;CANNES;;;;;;
2339;77;CANNES-ECLUSE;;;;;;
196;06;CANTARON;;;;;;
2214;76;CANTELEU;;;;;;
2757;88;CAPAVENIR VOSGES;;;;;;
1174;40;CAPBRETON;;;;;;
170;06;CAP-D AIL;;;;;;
1867;65;CAPVERN;;;;;;
611;29;CARANTEC;;;;;;
810;33;CARBON BLANC;;;;;;
877;33;CARCANS;;;;;;
290;11;CARCASSONNE;;;;;;
1448;50;CARENTAN LES MARAIS;;;;;;
263;08;CARIGNAN;;;;;;
850;33;CARIGNAN-DE-BORDEAUX;;;;;;
1597;56;CARNAC;;;;;;
2393;77;CARNETIN;;;;;;
2653;83;CARNOULES;;;;;;
328;13;CARNOUX-EN-PROVENCE;;;;;;
2672;84;CAROMB;;;;;;
2657;84;CARPENTRAS;;;;;;
1295;44;CARQUEFOU;;;;;;
2633;83;CARQUEIRANNE;;;;;;
2453;78;CARRIERES SOUS POISSY;;;;;;
2428;78;CARRIERES SUR SEINE;;;;;;
215;06;CARROS;;;;;;
1794;62;CARVIN;;;;;;
628;2A;CASAGLIONE;;;;;;
645;2A;CASALABRIVA;;;;;;
3166;972;CASE PILOTE;;;;;;
329;13;CASSIS;;;;;;
760;31;CASTANET TOLOSAN;;;;;;
733;31;CASTELGINEST;;;;;;
1399;47;CASTELJALOUX;;;;;;
84;04;CASTELLANE;;;;;;
156;06;CASTELLAR;;;;;;
895;34;CASTELNAU LE LEZ;;;;;;
1410;47;CASTELNAUD DE GRATECAMBE;;;;;;
291;11;CASTELNAUDARY;;;;;;
793;33;CASTELNAU-DE-MEDOC;;;;;;
479;24;CASTELNAUD-LA-CHAPELLE;;;;;;
2568;82;CASTELSARRASIN;;;;;;
157;06;CASTILLON;;;;;;
713;30;CASTILLON-DU-GARD;;;;;;
863;33;CASTILLON-LA-BATAILLE;;;;;;
2562;81;CASTRES;;;;;;
855;33;CASTRES GIRONDE;;;;;;
917;34;CASTRIES;;;;;;
2206;76;CAUDEBEC-LES-ELBEUF;;;;;;
1688;59;CAUDRY;;;;;;
453;22;CAULNES;;;;;;
633;2A;CAURO;;;;;;
2574;82;CAUSSADE;;;;;;
1869;65;CAUTERETS;;;;;;
954;34;CAUX;;;;;;
2679;84;CAVAILLON;;;;;;
2591;83;CAVALAIRE-SUR-MER;;;;;;
694;30;CAVEIRAC;;;;;;
3179;973;CAYENNE;;;;;;
2545;80;CAYEUX-SUR-MER;;;;;;
776;32;CAZAUBON;;;;;;
932;34;CAZILHAC;;;;;;
2437;78;CELLE-SAINT-CLOUD (LA);;;;;;
814;33;CENON;;;;;;
1386;45;CEPOY;;;;;;
2027;69;CERCIE;;;;;;
1898;66;CERET;;;;;;
3078;95;CERGY;;;;;;
2497;78;CERNAY-LA-VILLE;;;;;;
2899;91;CERNY;;;;;;
661;2B;CERVIONE;;;;;;
944;34;CESSERAS;;;;;;
2276;77;CESSON;;;;;;
964;35;CESSON-SEVIGNE;;;;;;
11;01;CESSY;;;;;;
806;33;CESTAS;;;;;;
520;26;CHABEUIL;;;;;;
2037;70;CHAGEY;;;;;;
2055;71;CHAGNY;;;;;;
1383;45;CHALETTE-SUR-LOING;;;;;;
2728;85;CHALLANS;;;;;;
1246;42;CHALMAZEL-JEANSAGNIERE;;;;;;
1476;51;CHALONS EN CHAMPAGNE;;;;;;
2050;71;CHALON-SUR-SAONE;;;;;;
2035;70;CHALONVILLARS;;;;;;
2913;91;CHAMARANDE;;;;;;
2098;73;CHAMBERY;;;;;;
1757;60;CHAMBLY;;;;;;
2468;78;CHAMBOURCY;;;;;;
1048;37;CHAMBRAY LES TOURS;;;;;;
2396;77;CHAMBRY;;;;;;
2156;74;CHAMONIX MONT BLANC;;;;;;
2302;77;CHAMPAGNE SUR SEINE;;;;;;
3088;95;CHAMPAGNE SUR-OISE;;;;;;
1986;69;CHAMPAGNE-AU-MONT-D OR;;;;;;
35;01;CHAMPAGNE-EN-VALROMEY;;;;;;
1137;39;CHAMPAGNOLE;;;;;;
2846;91;CHAMPCUEIL;;;;;;
2308;77;CHAMPDEUIL;;;;;;
2261;77;CHAMPEAUX;;;;;;
2081;72;CHAMPFLEUR;;;;;;
1519;54;CHAMPIGNEULLES;;;;;;
3066;94;CHAMPIGNY-SUR-MARNE;;;;;;
2866;91;CHAMPLAN;;;;;;
2357;77;CHAMPS-SUR-MARNE;;;;;;
1084;38;CHAMROUSSE;;;;;;
1508;53;CHANGE;;;;;;
1362;45;CHANTEAU;;;;;;
2364;77;CHANTELOUP EN BRIE;;;;;;
2462;78;CHANTELOUP-LES-VIGNES;;;;;;
968;35;CHANTEPIE;;;;;;
1739;60;CHANTILLY;;;;;;
2705;85;CHANTONNAY;;;;;;
2759;88;CHANTRAINE;;;;;;
1313;44;CHAPELLE-HEULIN (LA);;;;;;
1285;44;CHAPELLE-SUR-ERDRE (LA);;;;;;
1973;69;CHAPONOST;;;;;;
1990;69;CHARBONNIERES-LES-BAINS;;;;;;
2016;69;CHARENTAY;;;;;;
3025;94;CHARENTON-LE-PONT;;;;;;
258;08;CHARLEVILLE-MEZIERES;;;;;;
1249;42;CHARLIEU;;;;;;
1965;69;CHARLY;;;;;;
2381;77;CHARMENTRAY;;;;;;
239;07;CHARMES-SUR-RHONE;;;;;;
2056;71;CHAROLLES;;;;;;
507;25;CHARQUEMONT;;;;;;
3089;95;CHARS;;;;;;
575;28;CHARTAINVILLIERS;;;;;;
564;28;CHARTRES;;;;;;
971;35;CHARTRES-DE-BRETAGNE;;;;;;
2274;77;CHARTRETTES;;;;;;
1993;69;CHASSELAY;;;;;;
2736;86;CHASSENEUIL-DU-POITOU;;;;;;
1941;69;CHASSIEU;;;;;;
1824;63;CHASTREIX;;;;;;
71;02;CHATEAU THIERRY;;;;;;
80;04;CHATEAU-ARNOUX-SAINT-AUBAN;;;;;;
1029;35;CHATEAUBOURG;;;;;;
1354;44;CHATEAUBRIANT;;;;;;
582;28;CHATEAUDUN;;;;;;
2419;78;CHATEAUFORT;;;;;;
988;35;CHATEAUGIRON;;;;;;
1505;53;CHATEAU-GONTIER-SUR-MAYENNE;;;;;;
591;28;CHATEAUNEUF EN THYMERAIS;;;;;;
1377;45;CHATEAUNEUF S LOIRE;;;;;;
2685;84;CHATEAUNEUF-DE-GADAGNE;;;;;;
2699;84;CHATEAUNEUF-DU-PAPE;;;;;;
353;13;CHATEAUNEUF-LES-MARTIGUES;;;;;;
362;13;CHATEAURENARD;;;;;;
1032;36;CHATEAUROUX;;;;;;
393;17;CHATELAILLON-PLAGE;;;;;;
434;22;CHATELAUDREN-PLOUAGAT;;;;;;
2278;77;CHATELET-EN-BRIE (LE);;;;;;
1817;63;CHATELGUYON;;;;;;
2740;86;CHATELLERAULT;;;;;;
2965;92;CHATENAY-MALABRY;;;;;;
2975;92;CHATILLON;;;;;;
2431;78;CHATOU;;;;;;
2394;77;CHAUCONIN-NEUFMONTIERS;;;;;;
589;28;CHAUDON;;;;;;
2058;71;CHAUFFAILLES;;;;;;
2301;77;CHAUMES-EN-BRIE;;;;;;
1503;52;CHAUMONT;;;;;;
3131;95;CHAUMONTEL;;;;;;
1704;60;CHAUMONT-EN-VEXIN;;;;;;
54;02;CHAUNY;;;;;;
2530;79;CHAURAY;;;;;;
2743;86;CHAUVIGNY;;;;;;
981;35;CHAVAGNE;;;;;;
1226;42;CHAVANAY;;;;;;
2440;78;CHAVENAY;;;;;;
2964;92;CHAVILLE;;;;;;
1235;42;CHAZELLES SUR LYON;;;;;;
1370;45;CHECY;;;;;;
1426;49;CHEFFES;;;;;;
2345;77;CHELLES;;;;;;
1436;49;CHEMILLE-EN-ANJOU;;;;;;
2143;74;CHENEX;;;;;;
2765;88;CHENIMENIL;;;;;;
3046;94;CHENNEVIERES SUR MARNE;;;;;;
2872;91;CHEPTAINVILLE;;;;;;
1457;50;CHERBOURG-EN-COTENTIN;;;;;;
2813;89;CHEROY;;;;;;
2372;77;CHESSY;;;;;;
2801;89;CHEVANNES;;;;;;
3038;94;CHEVILLY-LARUE;;;;;;
2509;78;CHEVREUSE;;;;;;
1;01;CHEVRY;;;;;;
2299;77;CHEVRY-COSSIGNY;;;;;;
1494;51;CHIGNY-LES-ROSES;;;;;;
2856;91;CHILLY MAZARIN;;;;;;
3033;94;CHOISY-LE-ROI;;;;;;
1435;49;CHOLET;;;;;;
130;05;CHORGES;;;;;;
1861;64;CIBOURE;;;;;;
1734;60;CIRES LES MELLO;;;;;;
2323;77;CITRY;;;;;;
1720;60;CLAIROIX;;;;;;
1153;39;CLAIRVAUX-LES-LACS;;;;;;
1108;38;CLAIX;;;;;;
2970;92;CLAMART;;;;;;
197;06;CLANS;;;;;;
672;30;CLARENSAC;;;;;;
395;17;CLAVETTE;;;;;;
2606;83;CLAVIERS;;;;;;
2341;77;CLAYE-SOUILLY;;;;;;
2423;78;CLAYES-SOUS-BOIS (LES);;;;;;
1591;56;CLEGUER;;;;;;
1711;60;CLERMONT;;;;;;
2079;72;CLERMONT CREANS;;;;;;
908;34;CLERMONT L HERAULT;;;;;;
2953;92;CLICHY;;;;;;
3004;93;CLICHY SOUS BOIS;;;;;;
1304;44;CLISSON;;;;;;
600;29;CLOHARS CARNOET;;;;;;
2047;71;CLUNY;;;;;;
2175;74;CLUSES;;;;;;
690;30;CODOGNAN;;;;;;
69;02;COEUVRES ET VALSERY;;;;;;
651;2A;COGGIA;;;;;;
2581;83;COGOLIN;;;;;;
2517;78;COIGNIERES;;;;;;
